ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, fp_dp_scalar_ins, 6, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 6, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 6, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 7, Accumulator, 1244723355, 0, 491, 491, 491, 1, 1
A0, write_requests, 7, Accumulator, 1244723355, 0, 146, 146, 146, 1, 1
A0, read_request_sizes, 7, Accumulator, 1244723355, 0, 4315, 52547, 491, 1, 16
A0, write_request_sizes, 7, Accumulator, 1244723355, 0, 1836, 25712, 146, 4, 16
A0, split_read_requests, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 7, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 7, Accumulator, 1244723355, 0, 2121, 2121, 2121, 1, 1
A0, instruction_count, 7, Accumulator, 1244723355, 0, 2758, 2758, 2758, 1, 1
A0, cycles, 7, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 7, Accumulator, 1244723355, 0, 3927, 3927, 3927, 1, 1
A0, fp_sp_ins, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 7, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 7, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 7, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 7, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 7, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 8, Accumulator, 1244723355, 0, 476, 476, 476, 1, 1
A0, write_requests, 8, Accumulator, 1244723355, 0, 145, 145, 145, 1, 1
A0, read_request_sizes, 8, Accumulator, 1244723355, 0, 4243, 52163, 476, 1, 16
A0, write_request_sizes, 8, Accumulator, 1244723355, 0, 1828, 25648, 145, 4, 16
A0, split_read_requests, 8, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 8, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 8, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 8, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 8, Accumulator, 1244723355, 0, 2044, 2044, 2044, 1, 1
A0, instruction_count, 8, Accumulator, 1244723355, 0, 2665, 2665, 2665, 1, 1
A0, cycles, 8, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 8, Accumulator, 1244723355, 0, 3998, 3998, 3998, 1, 1
A0, fp_sp_ins, 8, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 8, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
